Name,Country,Status,Formed In,Genre,Theme,Active,Spotify Popularity,Total Followers On Spotify
Abhorrent Life,Germany,Split-up,2000,Death Metal,Unknown,? (as Morimentum)| 2000-?,0,0
Abhorrer,Brazil,Split-up,2001,Death Metal,War| Death| Disease,2001-?,0,0
Abhoth,Sweden,Split-up,1989,Death Metal,Death| Misery| Gore,1988-1989 (as Morbid Salvation Army)| 1989-1999| 1999 (as Chimera),0,0
Abiosis,United Kingdom,Split-up,1990,Death Metal,Death| Cannibalism| Torture,1990| 1990-?,0,0
Abiosis,United States,Split-up,1991,Death Metal,Unknown,1991-1994,0,0
Abiura,Italy,Split-up,1999,Death Metal,Death,1999-2000 (as Devoured by Vermin)| 2000-?,0,0
Abjekt,France,Changed name,2011,Death Metal,Ugliness| Death| War,2011-2013| 2013-present (as Pestkhlyst),0,0
Abjury,Canada,Split-up,2007,Death Metal,Unknown,2003-2007 (as Moonless Equinox)| 2007-?,0,0
Ablation,Canada,Split-up,1991,Death Metal,Death| Gore,1991-?,0,0
Ablepsia,Colombia,Active,1996,Death Metal,Pain| Fear| Evil,1996-2000| 2007-present,0,0
Abnorm,France,Split-up,2005,Death Metal,Monstrosity| Abnormity| Deformity,2005-?,0,0
Abnorma,Italy,Unknown,2004,Death Metal,Gore| Death,2004-?,0,0
Abnormal,Norway,Active,2000,Death Metal,Insanity| Death| Inner Struggles,2000-present,0,0
Abnormity,Italy,Split-up,n,Death Metal,Unknown,,0,0
Abnormity,Sweden,Split-up,1990,Death Metal,Gore| Death| Mutilation,1990-1992,0,0
Abolisher,United States,Active,1994,Death Metal,Unknown,1994-present,0,0
Abolishment of Hate,Canada,Active,n,Death Metal,Instrumental,,0,0
Abolition,Germany,Split-up,2003,Death Metal,White Pride| Violence| Racism| Hatred,2003-?,0,0
Abominal Mortus,Mexico,Active,2004,Death Metal,Death,2004-present,0,0
Abominat,Norway,On hold,2002,Death Metal,Death| Holocaust| Armageddon,2002-?,0,0
Abominatio,Chile,Active,2014,Death Metal,Unknown,2014-2015 (as Legion),0,0
Abomination,Finland,Changed name,2005,Death Metal,Killing| Gore,2005-2007| 2007-? (as Self-Murder Climax)| ?-present (as Shapeless Head),0,0
Abomination,Panama,Split-up,1994,Death Metal,Blasphemy,1994 (as Psicosis)| 1995-?,0,0
Abominations,Germany,Active,2016,Death Metal,Horror| Death| Gore,2016-present,0,0
Abominator,United States,Split-up,n,Death Metal,Unknown,,9,6326
Abominattion,Brazil,Split-up,1998,Death Metal,Evil| War| Death,1994-1998 (as Anesthesia)| 1998-?,0,0
Abominio,Brazil,Active,n,Death Metal,Christianity,,0,0
Abominog,United States,Split-up,1987,Death Metal,Death| Gore| War,1987-1988 (as Usurper)| 1988-1997,0,0
Abominor,Mexico,Unknown,2001,Death Metal,Gnosis| Karma| Death,2001-?,0,0
Abominus,United States,Split-up,1994,Death Metal,Anti-Religious| Paranormality,1994-1997| 1997-1999 (as Pressure Point)| 2004-?,0,0
Abonation,Indonesia,Active,2009,Death Metal,Unknown,2009-present,0,71
Aborted,Belgium,Active,1995,Death Metal,Death| Gore| Violence| Psychopathy,1995-present,39,98528
Aborted Existence,United States,Active,2002,Death Metal,Horrors| Mutilation,2002-present,0,0
Aborticide,Poland,Split-up,2000,Death Metal,Death| Darwanism| Survival of the Fittest,2000-?,0,0
Abortification,Finland,Split-up,2007,Death Metal,Unknown,2007-?,0,0
Abortion Holocaust,Philippines,Active,2009,Death Metal,Pain| Violence| Gore| Human Extinction,2009-present,0,0
Abortus,Australia,Changed name,1998,Death Metal,Corruption| Barratry| Hate,1998-2004| 2004-present (as Herratik),0,0
Abortus,United States,Split-up,1993,Death Metal,Unknown,1993-?,0,0
Abramelin,Australia,Split-up,1994,Death Metal,Gore| Death| Occultism| Necrophilia| Blasphemy| Child Molestation,1988-1994 (as Acheron)| 1994-2002,9,1502
Abrasion,Australia,Active,1996,Death Metal,Violence,1996-present,0,0
Abraxas,United States,Split-up,2009,Death Metal,Unknown,2009-2012,0,0
Abrupt Demise,Netherlands,Active,2010,Death Metal,Psyche| War| Murder,2010-present,0,0
Abscess,Brazil,Split-up,1991,Death Metal,Gore| Insanity| Violence,1991-1996| 2003 (as Kemöth)| 2003-?,0,0
Abscess,Netherlands,Split-up,1989,Death Metal,Unknown,1989-?,0,0
Abscess Plague,Sweden,Split-up,2004,Death Metal,Unknown,2004-?,0,0
Abscession,Sweden,Active,2009,Death Metal,Anti-Christian| Darkness| Death,2009-present,14,2934
Abscission,United States,Active,2008,Death Metal,Death| Horror| Insanity| Manipulation,2008-present,0,126
Absconder,United States,Active,2009,Death Metal,Unknown,2009-present,0,0
Absemia,Argentina,Split-up,1994,Death Metal,Gore| Mutilation| Death,1994-?,0,0
Absence,Brazil,Unknown,2002,Death Metal,Death| Violence,2002-?,0,0
Absent,Poland,Active,2001,Death Metal,Insanity| Murder| Society,2001-present,0,0
Absentation,Syria,Active,2003,Death Metal,Dark philosophy| Hate| Anger| Witchcraft,2003-present,0,0
Absession,Mexico,Changed name,1989,Death Metal,Gore| Intestines| etc.,1989-1990| 1990-? (as Bloodsoaked),0,0
Absinth,Sweden,Split-up,n,Death Metal,Unknown,,0,0
Absinthium,Germany,Split-up,1994,Death Metal,Unknown,1994-1996,0,0
Absinthius,Australia,Active,2016,Death Metal,Unknown,2016-present,0,0
Absolute Zero,United States,Split-up,n,Death Metal,Unknown,,0,0
Absolution,United Kingdom,Active,1991,Death Metal,Serial killers| Murder| Crime,1991-1994| 2012-present,1,93
Absonant Cadence,Canada,Split-up,1993,Death Metal,Unknown,1993-?,0,0
Absorb,Germany,Active,1989,Death Metal,Unknown,1989-1994| 2007-present,0,0
Absorbcia,Ukraine,Split-up,2002,Death Metal,Death,2002-2003,0,0
Absorbed,Germany,Split-up,1992,Death Metal,Unknown,1992-1994,0,0
Absorbed,Netherlands,Split-up,1997,Death Metal,Unknown,1997-2003,0,0
Absorbing Silence,Poland,Active,2007,Death Metal,Unknown,2007-present,0,0
Absorde,United States,Split-up,2003,Death Metal,Battle| Apocalypse,2003-?,0,0
Absorption,Sweden,Split-up,1990,Death Metal,Darkness| Evil,1990,0,0
Abstract Butchery,Hungary,Split-up,n,Death Metal,Unknown,,0,0
Abstract Dementia,France,Split-up,n,Death Metal,Unknown,,0,0
Absurd,Sweden,Split-up,1989,Death Metal,Abstract concepts,1989-1994,0,0
Absurd Conception,Italy,Split-up,1988,Death Metal,Unknown,1988-?,0,0
Absurd Universe,Netherlands,Split-up,2010,Death Metal,Dutch Pirates,2010-?,0,40
Absurdium,Brazil,Active,2000,Death Metal,Unknown,2000-2005| 2015-present,0,0
Absynt,Poland,Split-up,1997,Death Metal,Unknown,1997-2003,0,0
Absynthium,Belgium,Split-up,1996,Death Metal,Darkness| Hate,1996-?,0,0
Abszess,Germany,Split-up,1993,Death Metal,Death| Gore,1993-?,0,0
Abuse Ritual,Australia,Split-up,2001,Death Metal,Human Suffering,2001-?,0,0
Abuso,Argentina,Active,2006,Death Metal,Gore| Death,2006-present,0,0
Abysal,Poland,Split-up,1998,Death Metal,Evil| Anti-Christianity| Existence,1998-?,0,0
Abysm,International,Active,n,Death Metal,Unknown,,0,0
Abysmal Dawn,United States,Active,2003,Death Metal,The Occult| Loss| Sci-Fi| Social Commentary,2003-present,30,28067
Abysmal Hatred,Germany,Split-up,1998,Death Metal,Unknown,1998-?,0,0
Abysme,United States,Active,2006,Death Metal,Darkness| Fantasy| Horror| Religion| Philosphy,2006-present,0,0
Abyss,Japan,Split-up,1991,Death Metal,Unknown,1991-?,0,0
Abyss Inferno,Japan,Active,2010,Death Metal,Unknown,2010-present,0,0
Abyss Lord,Germany,Changed name,1997,Death Metal,Death| War| Destruction,1997-2007| 2007-present (as Day of the Tentacle),0,18
Abyss of Darkness,Brazil,Split-up,2001,Death Metal,War| Darkness| Death,2001-2006,0,0
Abyss of Perdition,Mexico,Active,n,Death Metal,Unknown,,0,0
Abyssal,France,Active,n,Death Metal,Humor,,11,6418
Abyssal Ascendant,France,Active,2012,Death Metal,Unknown,2012-present,1,417
Abyssal Flames,Italy,On hold,2011,Death Metal,Physical and Mental Weakness| Self-Annihilation of the Human Race| Gore,2011-2015,0,0
Abyssal Throne,Canada,Split-up,2009,Death Metal,Unknown,2009-2012,0,0
Abyssals,France,Split-up,1993,Death Metal,Unknown,1993-?,0,0
Abyssous,Germany,Active,2011,Death Metal,Ancient Gods| Horror,2011-present,1,187
Abyssthrone,Germany,Active,n,Death Metal,Unknown,,0,0
Abyssus,Greece,Active,2011,Death Metal,Death| Pollution| Social oppression| War,2011-present,0,0
Abythic,Germany,Active,2015,Death Metal,Unknown,2015-present,1,334
Abyz,Germany,Split-up,1990,Death Metal,Unknown,? (as Eradicated)| ? (as Rotten Corps)| ? (as Necrophiliac)| 1990-1991,0,0
Acatalepsy,United Kingdom,Active,2007,Death Metal,Death| Surrealism,2007-present,0,0
Accursed Creation,Canada,Active,2009,Death Metal,Satan| Death,2009-present,0,0
Accursed Spawn,Canada,Active,2010,Death Metal,Violence| Gore,2010-present,0,370
Acefalia,Brazil,Active,2006,Death Metal,Manipulation| Drugs| Hate| Reality,2006-present,0,0
Aceldama,United States,Split-up,n,Death Metal,Unknown,,0,0
Aceldama,United States,Split-up,1990,Death Metal,Death| Afterlife,1990-?,0,0
Aceldama,United States,Split-up,1990,Death Metal,Society,? (as Ascalanax)| 1990-?,0,0
Acerbus,United States,Split-up,1999,Death Metal,Darkness| Evil| Corruption,1999-2003,0,0
Acheron,Australia,Changed name,1988,Death Metal,Unknown,1988-1994| 1994-2002 (as Abramelin),14,4211
Acoasma,Slovakia,Split-up,1994,Death Metal,Definitiveness of Life| Death,1994-?,0,0
Acoustic Torment,Germany,Unknown,1999,Death Metal,Total Global Annihilation| The Return of Jesus,1999-?,0,0
Acrament,Chile,Split-up,n,Death Metal,Unknown,,0,0
Acrid,United States,Active,2008,Death Metal,Unknown,2008-present,0,0
Acriminous,United States,Split-up,1994,Death Metal,Unknown,1994-?,0,0
Acrimonium,United States,Split-up,1992,Death Metal,Anger| Violence| Demonism,1992-?,0,0
Acrimony,United States,Active,2006,Death Metal,Death| Darkness,2006-present,0,0
Acrobystia,Czech Republic,Active,2004,Death Metal,Unknown,2004-present,0,0
Across,Brazil,Active,1999,Death Metal,Unknown,1999-present,0,0
Across the Swarm,Italy,Active,2002,Death Metal,Misanthropy| Human Decadence,2002-2004 (as Lacerated)| 2004-2013 (as Lacerater)| 2013-present,0,0
Acrossanity,Turkey,Active,2006,Death Metal,Horror,2006-present,0,0
Acrostic,Mexico,Split-up,1991,Death Metal,Hate| Death,1991-1994,0,0
Acrostichon,Netherlands,Active,1989,Death Metal,Gore| Death| Mutilation| War,1989-1995| 2009-present,3,476
Act of Gods,France,Unknown,2001,Death Metal,Anti-God| Gore| Pain| Cannibalism,2001-?,0,0
Act of Grotesque,Bulgaria,Active,2001,Death Metal,Social,2001-present,0,0
Acts of Sorrow,United Kingdom,Split-up,2008,Death Metal,Unknown,2008-2011,0,0
Acéldama,Costa Rica,Active,2005,Death Metal,Theism| Death| Philosophy,2005-present,0,0
Acétone,France,Split-up,2004,Death Metal,Death,2004-2009,0,0
Ad Infinitum,United States,Split-up,n,Death Metal,Unknown,,0,0
Ad Mortem Eternam,France,Active,2009,Death Metal,Unknown,2009-present,0,0
Ad Nauseum,France,Active,n,Death Metal,Unknown,,0,0
Ad Noctum,Australia,Split-up,1999,Death Metal,Murder,1999-?,0,0
Ad Patres,France,Active,2008,Death Metal,Unknown,2008-present,2,803
Ad This to Your Mind,Sweden,Unknown,2005,Death Metal,Unknown,2005-?,0,0
Adapt,Germany,Split-up,n,Death Metal,Unknown,,0,0
Adaptor,Indonesia,Active,1991,Death Metal,Violence| Death| Inner Struggle,1991-2001| 2010-present,0,0
Adastrae,France,Active,2010,Death Metal,Unknown,2010-present,0,0
Addicted,France,Unknown,2003,Death Metal,Alcohol| Drinking| Drugs,2003-?,0,0
Addiction,Germany,Active,2009,Death Metal,Unknown,2009 (as Sudden Deafness)| 2009-present,0,0
Adetar,Netherlands,Split-up,1990,Death Metal,Darkness| Death,1990-?,0,0
Admortem,France,Split-up,1997,Death Metal,Death| Life| Gore,1997-?,0,0
Adnauseam,United States,Split-up,n,Death Metal,Unknown,?-1995,0,0
Adnihil,Czech Republic,Active,2009,Death Metal,Unknown,2009-present,0,0
Adornment,Finland,Split-up,1994,Death Metal,Unknown,1994-?,0,0
Adramelech,Finland,On hold,1991,Death Metal,Ancient mythology,1991-present,13,8250
Adversary,Sweden,Split-up,1990,Death Metal,Unknown,1990-1993,0,0
Adversary,United States,Split-up,1989,Death Metal,Unknown,1989-?,0,0
Adversary of Existence,United States,Split-up,2001,Death Metal,Anti-Christian| Blasphemy| Evil,2001-?,0,0
Aeon,Sweden,Active,1999,Death Metal,Anti-Christianity| Satanism,1999-present,32,39415
Aeon of Disease,Germany,Active,2015,Death Metal,Unknown,2015-present,2,153
Aeons of Eclipse,United States,Split-up,2004,Death Metal,Mythology| Humanity| Death| Violence,2004-2012,0,125
Aestees,Indonesia,Active,2010,Death Metal,Universe| Space| Nature,2010 (as Another Sword to Slain)| 2010-2013| 2014-present,1,102
Aeternus,Poland,Split-up,1991,Death Metal,Unknown,1989-1991 (as Widmo)| 1991-1992,0,0
Aeternus Prophet,Ukraine,Active,2010,Death Metal,Hate,2010-present,0,0
Aeturnus,United States,Split-up,1995,Death Metal,Christianity,1995-?,0,0
Aeturnus Dominion,Australia,Active,2003,Death Metal,Gore| Violence| War| Solitude| Murder,2003-present,1,49
Affecti Veternus,Sweden,Split-up,2007,Death Metal,Gore| Death| Torture,2007-2009,0,0
Affliction,Denmark,Split-up,1992,Death Metal,Unknown,1992-?,1,114
Affliction Gate,France,Active,2006,Death Metal,Dark Perspectives| Strength| Death,2006-present,0,0
After All Over,Indonesia,Active,2005,Death Metal,Life,2005-present,0,0
After Death,United States,Active,2000,Death Metal,Occult| Evil,1999-2000 (as Nocturnus AD)| 2000-present,0,0
After the Abduction,United Kingdom,Active,2015,Death Metal,Unknown,2015-present,0,76
After the Fallout,United States,Active,2010,Death Metal,Unknown,2010-present,0,0
Afterbirth,United States,Split-up,1989,Death Metal,Unknown,1989-?,15,3871
Afterburner,Russia,Active,2009,Death Metal,Anti-Christianity| Death| War| Gore,2009-present,0,0
Afterdeath,Brazil,Split-up,1992,Death Metal,Christianity,1992-?,0,0
Afterlife,Ireland,Split-up,1991,Death Metal,Society| Politics,1991-?,0,0
Afterlife,United States,Split-up,1990,Death Metal,Dark spiritualism| Infinity| Chaos,1990-?,0,0
Afterlife?,Sweden,Split-up,1991,Death Metal,Unknown,1991-?,0,0
Aftermath,Australia,Split-up,1991,Death Metal,Gore| Death and Sickness,1991-1996| 2003-2006,0,0
Agalariept,Chile,Active,n,Death Metal,Violence| Hatred,,0,0
Agamas,United States,Split-up,1991,Death Metal,Unknown,1991-1993,0,0
Age of Aggression,Germany,Active,2002,Death Metal,Metal way of life,2002-present,0,0
Age of Agony,Hungary,Active,2002,Death Metal,Anti-Christian| Death| War| Hate,1995-2002 (as Silent Agony)| 2002-present,0,0
Age of Devastation,Germany,Active,2007,Death Metal,Unknown,2007-present,0,0
Age of Pain,Italy,Split-up,1998,Death Metal,Hate| Rage| End| Death,1998-?,0,0
Age of Rage,United States,On hold,1992,Death Metal,Unknown,1992-?,0,0
Age of War,Mexico,Split-up,2006,Death Metal,War,2006-2011,0,0
Aggregate Pain,Turkey,Split-up,2008,Death Metal,Unknown,2008-?,0,0
Aggression,Russia,Changed name,1989,Death Metal,Unknown,1989-1995| 1995-present (as MysticalGate),0,0
Aggressive Intent,United States,Split-up,n,Death Metal,Unknown,,0,0
Aggressive Measures,United States,Changed name,2005,Death Metal,Unknown,2005-2009| 2009-present (as Decimated Existence),0,0
Aggressor,Poland,Active,1988,Death Metal,Apocalypse| Alcohol| War| Hate| Pain,1988-?| 2004-present,0,0
Aggrevated,Australia,Split-up,2006,Death Metal,Emotions| Inner Struggle,2006-?,0,0
Aghast,United States,On hold,2004,Death Metal,Unknown,2004-?,0,0
Aglareth,Mexico,Split-up,1994,Death Metal,Horror| Gore| Fantasy,1994-?,0,0
Agnosia,United States,Split-up,1990,Death Metal,Unknown,? (as Matricide)| 1990-?,0,0
Agnostic,India,Active,2009,Death Metal,Gore| Torture| Mutilation,2009-2015| 2016-present,0,0
Agon,France,Active,2002,Death Metal,Unknown,2002-2011| 2014-present,0,0
Agone,France,Split-up,1993,Death Metal,Unknown,1993-?,0,0
Agonised,Spain,Active,2009,Death Metal,Unknown,2009-present,0,0
Agonize,Peru,Active,1997,Death Metal,War| Death,1997-present,0,0
Agonize Death,Brazil,Split-up,1993,Death Metal,Unknown,1993-?,0,0
Agonized,Finland,Split-up,1990,Death Metal,Gore,1990-1991,0,0
Agonized,Portugal,Unknown,2001,Death Metal,Death| Destruction| Corruption,2001-?,0,0
Agonizer,Italy,Split-up,n,Death Metal,Unknown,,0,0
Agony,Czech Republic,Split-up,1995,Death Metal,Unknown,1995-2011,0,0
Agony Conscience,Czech Republic,Split-up,1993,Death Metal,Unknown,1993-?,0,0
Agony Divine,United States,Active,2001,Death Metal,Unknown,2001-2005| 2011-present,0,0
Agony Lords,Mexico,Active,1993,Death Metal,Death| Pain| Apocalypse,1989-1993 (as Ripping Flesh)| 1993-1999| 2008-present,4,639
Agony Spawn,Canada,Active,2010,Death Metal,Death| Gore,2010-present,0,0
Agoraphobia,Germany,Changed name,1989,Death Metal,Unknown,1989-1991| 2005-2010| 2010-present (as New Born Hate),0,0
Agoraphobia,Germany,Split-up,n,Death Metal,Unknown,,0,0
Agression,Chile,Active,2004,Death Metal,Rebellion| Social Problems| Street Violence,2004-present,0,0
Agressor,Argentina,Unknown,n,Death Metal,Chaos| Life,,13,3140
Agressor,Colombia,Active,1986,Death Metal,Death| Violence,1986-present,13,3140
Agressor,Hungary,Split-up,n,Death Metal,Unknown,,13,3140
Agretator,Sweden,Split-up,1992,Death Metal,Unknown,1990-1992 (as Demise)| 1992-1998,0,0
Agroth,Sweden,Split-up,n,Death Metal,Unknown,,0,0
Ahmasiah,France,Active,1996,Death Metal,Unknown,1996-present,0,0
Ahnnias,France,Unknown,2006,Death Metal,Unknown,2006-?,0,0
Ahrimah,Poland,Split-up,1992,Death Metal,Occultism,1992-1995,0,0
Ahriman,Brazil,Active,2004,Death Metal,Unknown,2004-present,0,0
Ahura,France,Active,2005,Death Metal,Unknown,2005-present,0,0
Aigéad,Ireland,Active,n,Death Metal,Existentialism| Modern society,,0,0
Aimoptysi,Greece,Split-up,1995,Death Metal,Mythology,1995-?,0,0
Aiwaz,Italy,Split-up,1994,Death Metal,Unknown,1994-?,0,0
Ajatus,Sweden,Active,2010,Death Metal,Metal life on streets,2010-present,0,0
Akagrish,Malaysia,Active,n,Death Metal,Unknown,,0,0
Akanatomb,Colombia,Split-up,2005,Death Metal,Evil| Death,2005-?,0,0
Akbal,Chile,Active,1997,Death Metal,Death| Infinite Power| Desperation,1997-present,0,0
Akeldama,United States,Split-up,2000,Death Metal,Christianity,2000-?,0,0
Akeldama,United States,Split-up,2003,Death Metal,Darkness| Death,2003-?,0,0
Akryal,United States,Split-up,2001,Death Metal,Life| Struggles| Christianity,2001-2002,0,0
Aktarma Suicide,Philippines,Active,2004,Death Metal,Unknown,2004-present,0,0
Akuma,Australia,Active,2003,Death Metal,Unknown,2003-present,0,0
Alabaster Morgue,United States,Active,2003,Death Metal,Death| Gore,2003-present,0,0
Alamogordo,Czech Republic,Active,2002,Death Metal,Destruction| War| Death,2002-present,0,0
Alarma,Finland,Active,n,Death Metal,Unknown,,0,0
Alastor,Chile,Active,2006,Death Metal,Anti-Religion,2006-present,0,0
Alcantagram,Morocco,Active,2006,Death Metal,Gore| Death,2006-present,0,0
Alchera,Germany,Active,1996,Death Metal,Unknown,1996-present,0,0
Alcoholica,Poland,Changed name,1999,Death Metal,Unknown,1999-2002| 2002-2006 (as Grave of Shadows)| 2006-? (as Decimated),0,0
Alesthor,Portugal,Split-up,1993,Death Metal,Unknown,1993-?,0,0
Alfa,Brazil,Split-up,n,Death Metal,Christianity,,0,0
Alhazred,United States,Changed name,2011,Death Metal,Unknown,2011-2012| 2012-present (as Existentium),0,0
Alive Dissection,France,Active,2009,Death Metal,Unknown,2009-present,0,0
All American Organ Grinder,United States,Active,2010,Death Metal,Unknown,2010-present,0,0
All Creation Wept,United States,Unknown,n,Death Metal,Unknown,,0,0
All Falls Down,Austria,Active,2006,Death Metal,Unknown,2006-present,0,0
All in Vain,Italy,Split-up,1997,Death Metal,Unknown,1997-2004,0,0
All Shall Die,United States,Split-up,2007,Death Metal,Death| Hell,2007-?,0,0
All That Is Evil,United States,Split-up,1997,Death Metal,Unknown,1997-?,0,0
All Will Fall,United States,Unknown,n,Death Metal,Conflict| Aggression,,0,0
Allienatyon,Brazil,Active,2002,Death Metal,Gore| Death| Torture| Putrefaction,2002-present,0,0
Allusion,Mexico,Split-up,1993,Death Metal,Unknown,1993-?,0,15
Allzheimer,Brazil,Split-up,1995,Death Metal,Unknown,1995-?,0,0
Alma Persona,Slovakia,Active,2009,Death Metal,Unknown,2009-present,0,0
Almagor,Venezuela,Active,2007,Death Metal,Christianity,2007-present,0,0
Almost Human,Germany,Active,2002,Death Metal,Unknown,2002-present,0,0
Almost Human,Taiwan,Active,1997,Death Metal,Existentialism,1997-2002| 2003-2004| 2006-present,0,0
Altar,Netherlands,Active,1990,Death Metal,Atheism| Anti-Christianity,1990-2001| 2002-2007| 2014-present,14,1432
Altar,Sweden,Split-up,1990,Death Metal,Unknown,1988-1990 (as Wortox)| 1990-1995,14,1432
Altar of Flesh,United States,Active,1999,Death Metal,Religion| Death,1999-present,0,28
Altar of Giallo,Spain,Active,2006,Death Metal,Zombies| Horror,2006-present,0,0
Altar of Pain,Portugal,Split-up,2010,Death Metal,Gore| Death| Myths| Anti-religion,2010-2013,0,0
